statement,key,year,match_kind,stored_value,expected_from_page,verdict,raw_label,src_pdf_year,note
balance_sheet,AccountsPayable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,AccountsReceivable,2009,mapped,2295956.0,2.29596e+06,PASS,Amounts receivable (Note 5),2010,label='Amounts receivable (Note 5)' sheet=2.296
balance_sheet,AccumulatedDepreciation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,AdditionalPaidInCapital,2009,mapped,8503997.0,8.504e+06,PASS,Contributed surplus (Note 11),2010,label='Contributed surplus (Note 11)' sheet=8.504
balance_sheet,BuildingsAndImprovements,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CashAndCashEquivalents,2009,mapped,1356436.0,1.35644e+06,PASS,Cash and cash equivalents,2010,label='Cash and cash equivalents' sheet=1.356
balance_sheet,CommonStock,2009,mapped,47894974.0,4.7895e+07,PASS,Common shares (Note 8),2010,label='Common shares (Note 8)' sheet=47.895
balance_sheet,ConstructionInProgress,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentAccruedExpenses,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentAssets,2009,mapped,61234084.0,6.12341e+07,PASS,Current total,2010,label='Current total' sheet=61.234
balance_sheet,CurrentCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDebt,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDebtAndCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredRevenue,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredTaxesLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentLiabilities,2009,mapped,419274.0,419274,PASS,Current total,2010,label='Current total' sheet=0.419
balance_sheet,FinishedGoods,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,GainsLossesNotAffectingRetainedEarnings,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,Goodwill,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,GrossPPE,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,InventoriesAdjustmentsAllowances,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,Inventory,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,InvestmentsAndAdvances,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LandAndImprovements,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LoansReceivable,2009,mapped,3025187.0,3.02519e+06,PASS,Loans receivable (Note 4),2010,label='Loans receivable (Note 4)' sheet=3.025
balance_sheet,LongTermCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LongTermDebt,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LongTermDebtAndCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,MachineryFurnitureEquipment,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,MinorityInterest,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NetPPE,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentDeferredLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentDeferredRevenue,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentDeferredTaxesLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentPensionAndOtherPostretirementBenefitPlans,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NotesReceivable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherIntangibleAssets,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherInventories,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherNonCurrentAssets,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherNonCurrentLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherPayable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherReceivables,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,PayablesAndAccruedExpenses,2009,mapped,419274.0,419274,PASS,Accounts payable and accrued liabilities (Note 13),2010,label='Accounts payable and accrued liabilities (Note 13)' sheet=0.419
balance_sheet,PreferredStock,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,RawMaterials,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,RetainedEarnings,2009,mapped,13886722.0,1.38867e+07,PASS,Retained earnings,2010,label='Retained earnings' sheet=13.887
balance_sheet,ShortTermInvestments,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,StockholdersEquity,2009,mapped,87489193.0,8.74892e+07,PASS,SHAREHOLDERS' EQUITY total,2010,"label=""SHAREHOLDERS' EQUITY total"" sheet=87.489"
balance_sheet,TotalTaxPayable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,TreasuryStock,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,WorkInProcess,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,AssetImpairmentCharge,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,BeginningCashPosition,2009,mapped,28936408.0,2.89364e+07,PASS,"CASH AND CASH EQUIVALENTS, beginning of year",2010,"label='CASH AND CASH EQUIVALENTS, beginning of year' sheet=28.936"
cash_flow,CapitalExpenditure,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashDividendsPaid,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashFromDiscontinuedInvestingActivities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashFromDiscontinuedOperatingActivities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInInventory,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInOtherWorkingCapital,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInPayablesAndAccruedExpense,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInPrepaidAssets,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInReceivables,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInWorkingCapital,2009,mapped,-3761236.0,-3.76124e+06,PASS,Net change in non-cash working capital,2010,label='Net change in non-cash working capital' sheet=-3.761
cash_flow,ChangesInCash,2009,mapped,-27579972.0,-2.758e+07,PASS,CHANGE IN CASH AND CASH EQUIVALENTS,2010,label='CHANGE IN CASH AND CASH EQUIVALENTS' sheet=-27.580
cash_flow,DepreciationAmortizationDepletion,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EffectOfExchangeRateChanges,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EndCashPosition,2009,mapped,1356436.0,1.35644e+06,PASS,"CASH AND CASH EQUIVALENTS, end of year",2010,"label='CASH AND CASH EQUIVALENTS, end of year' sheet=1.356"
cash_flow,FinancingCashFlow,2009,mapped,-2589728.0,-2.58973e+06,PASS,FINANCING ACTIVITIES total,2010,label='FINANCING ACTIVITIES total' sheet=-2.590
cash_flow,InvestingCashFlow,2009,mapped,-29226470.0,-2.92265e+07,PASS,INVESTING ACTIVITIES total,2010,label='INVESTING ACTIVITIES total' sheet=-29.226
cash_flow,IssuanceOfCapitalStock,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,IssuanceOfDebt,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetIncomeFromContinuingOperations,2009,mapped,-9051379.0,-9.05138e+06,PASS,Net income (loss) for the year,2010,label='Net income (loss) for the year' sheet=-9.051
cash_flow,NetIntangiblesPurchaseAndSale,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetIssuancePaymentsOfDebt,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetOtherFinancingCharges,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetOtherInvestingChanges,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetPreferredStockIssuance,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,OtherNonCashItems,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,PurchaseOfBusiness,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,PurchaseOfInvestment,2009,mapped,-31673476.0,-3.16735e+07,PASS,Purchase of investments,2010,label='Purchase of investments' sheet=-31.673
cash_flow,PurchaseOfPPE,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,RepaymentOfDebt,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,RepurchaseOfCapitalStock,2009,mapped,-2589728.0,-2.58973e+06,PASS,Shares repurchased and cancelled (Note 12),2010,label='Shares repurchased and cancelled (Note 12)' sheet=-2.590
cash_flow,SaleOfInvestment,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,SaleOfPPE,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,StockBasedCompensation,2009,mapped,328150.0,328150,PASS,Stock-based compensation (Note 9),2010,label='Stock-based compensation (Note 9)' sheet=0.328
income_statement,BasicEPS,2009,mapped,-0.09,-0.09,PASS,Basic income (loss) per share,2010,label='Basic income (loss) per share' sheet=-0.000
income_statement,DepreciationAmortizationDepletion,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,DilutedAverageShares,2009,mapped,99242524.0,9.92425e+07,PASS,- diluted,2010,label='- diluted' sheet=99.243
income_statement,DilutedEPS,2009,mapped,-0.09,-0.09,PASS,Diluted income (loss) per share,2010,label='Diluted income (loss) per share' sheet=-0.000
income_statement,InterestExpenseNonOperating,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,InterestIncomeNonOperating,2009,mapped,1610644.0,1.61064e+06,PASS,Interest income,2010,label='Interest income' sheet=1.611
income_statement,MinorityInterests,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,NetIncome,2009,mapped,-9051379.0,-9.05138e+06,PASS,Net income (loss) for the year,2010,label='Net income (loss) for the year' sheet=-9.051
income_statement,NetIncomeDiscontinuousOperations,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,NetNonOperatingInterestIncomeExpense,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,OperatingExpense,2009,mapped,934307.0,934307,PASS,Expenses total,2010,label='Expenses total' sheet=0.934
income_statement,OtherIncomeExpense,2009,mapped,373150.0,373150,PASS,Foreign exchange gain (loss),2010,label='Foreign exchange gain (loss)' sheet=0.373
income_statement,OtherOperatingExpenses,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,PretaxIncome,2009,mapped,-14055254.0,-1.40553e+07,PASS,Income (loss) before income taxes,2010,label='Income (loss) before income taxes' sheet=-14.055
income_statement,ResearchAndDevelopment,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,SellingGeneralAndAdministration,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,TotalRevenue,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CashCashEquivalentsAndShortTermInvestments,2009,derived,1356436.0,,PASS,,,identities clean
balance_sheet,OtherCurrentAssets,2009,derived,54556505.0,,PASS,,,identities clean
balance_sheet,OtherCurrentLiabilities,2009,derived,0.0,,PASS,,,identities clean
balance_sheet,Receivables,2009,derived,5321143.0,,PASS,,,identities clean
balance_sheet,TotalEquityGrossMinorityInterest,2009,derived,87489193.0,,PASS,,,identities clean
cash_flow,FreeCashFlow,2009,derived,4236226.0,,PASS,,,identities clean
income_statement,CostOfRevenue,2009,derived,0.0,,PASS,,,identities clean
income_statement,EBIT,2009,derived,-15665898.0,,PASS,,,identities clean
income_statement,EBITDA,2009,derived,-15665898.0,,PASS,,,identities clean
income_statement,GrossProfit,2009,derived,0.0,,PASS,,,identities clean
income_statement,NetIncomeContinuousOperations,2009,derived,-9051379.0,,PASS,,,identities clean
income_statement,OperatingIncome,2009,derived,-934307.0,,PASS,,,identities clean
income_statement,TaxProvision,2009,derived,-5003875.0,,PASS,,,identities clean
balance_sheet,AccountsPayable,2010,absent_on_face,0.0,,NOTE_ONLY,,,alias 'accounts payable' appears only in notes
balance_sheet,AccountsReceivable,2010,mapped,2206775.0,2.20678e+06,PASS,"Amounts receivable 5, 7",2012,"label='Amounts receivable 5, 7' sheet=2.207"
balance_sheet,AccumulatedDepreciation,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,AdditionalPaidInCapital,2010,mapped,12016560.0,1.20166e+07,PASS,Contributed surplus (Note 10),2011,label='Contributed surplus (Note 10)' sheet=12.017
balance_sheet,BuildingsAndImprovements,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CashAndCashEquivalents,2010,mapped,3266356.0,3.26636e+06,PASS,Cash,2012,label='Cash' sheet=3.266
balance_sheet,CommonStock,2010,mapped,44174159.0,4.41742e+07,PASS,Common shares (Note 7),2011,label='Common shares (Note 7)' sheet=44.174
balance_sheet,ConstructionInProgress,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentAccruedExpenses,2010,absent_on_face,0.0,,NOTE_ONLY,,,alias 'accrued liabilities' appears only in notes
balance_sheet,CurrentAssets,2010,mapped,83182378.0,8.31824e+07,PASS,Total current assets,2012,label='Total current assets' sheet=83.182
balance_sheet,CurrentCapitalLeaseObligation,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDebt,2010,absent_on_face,0.0,,NOTE_ONLY,,,alias 'loans payable' appears only in notes
balance_sheet,CurrentDebtAndCapitalLeaseObligation,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredRevenue,2010,mapped,414400.0,414400,PASS,Deferred revenue,2012,label='Deferred revenue' sheet=0.414
balance_sheet,CurrentDeferredTaxesLiabilities,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentLiabilities,2010,mapped,2130633.0,2.13063e+06,PASS,Total current liabilities,2012,label='Total current liabilities' sheet=2.131
balance_sheet,FinishedGoods,2010,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,GainsLossesNotAffectingRetainedEarnings,2010,mapped,-4274761.0,,SUSPECT,Accumulated other comprehensive loss 8,2012,printed cell not locatable in raw_line_items
balance_sheet,Goodwill,2010,absent_on_face,0.0,,NOTE_ONLY,,,alias 'goodwill' appears only in notes
