ticker,fill_rate_pct
SBD.X,84.92
TTGI,84.92
SRV.UN,84.93
ERO,84.94
NOB,84.97
ATX,84.98
CGX,84.99
GUF,84.99
NEW.H,84.99
TRX,85.0
ZDC,85.01
LABS,85.02
LXE,85.12
SJ,85.12
SXP,85.12
TOM,85.12
UG,85.12
XL,85.18
GLDC,85.23
MFI,85.26
SUN,85.26
VUX,85.29
JADE,85.3
HITI,85.33
EXG,85.35
NPR,85.36
AGMR,85.4
NVX,85.4
DFSC,85.48
MTH,85.51
NXR.UN,85.51
BARK,85.51
CGD,85.54
DELX,85.54
RSS,85.54
VNP,85.54
LTX,85.56
CPI,85.61
GMV,85.61
DEF,85.65
FPX,85.67
SGD,85.67
PE,85.71
TBL,85.73
AIAI,85.74
JPWR.H,85.74
RMES,85.74
RSG,85.74
BRON,85.76
QNC,85.76
KNG,85.79
MSV,85.81
CAU.H,85.83
ELVA,85.83
CGM,85.89
BOGO,85.95
MAN.P,85.95
RS,85.95
TRBC,85.95
BEA,86.04
PESO,86.04
ADW.A,86.14
EQTY,86.14
GMC,86.16
MRM,86.16
ELXR.H,86.23
NIM,86.23
AAZ,86.27
WPRT,86.29
GOP.H,86.3
SRL,86.34
FREQ,86.36
NERD,86.36
OCO,86.39
CJ,86.4
PTC,86.4
AUGC,86.41
TIG,86.44
GGA,86.45
MAU,86.45
MONY.P,86.45
D.UN,86.47
RDS,86.5
SLI,86.5
SONA,86.5
VENI,86.57
SNV,86.68
TVA.B,86.68
AIS,86.72
MEX,86.73
STN,86.73
TNZ,86.78
TLT,86.82
STMP,86.87
PYR,86.89
BMET,86.91
BRTA.H,86.91
MDNA,86.93
BBD.B,86.94
PRV.UN,86.97
ASG,86.98
KCC,87.01
K,87.05
MSCL,87.05
IOT,87.07
KBL,87.09
MFC,87.11
BEEP,87.13
CDA,87.14
FURY,87.16
HME,87.16
BETR,87.19
CDVA,87.19
NOAL,87.19
SKE,87.22
SKK,87.26
CEF,87.27
PMZ.UN,87.27
CLZ,87.31
KTRI,87.33
VERT,87.33
INO.UN,87.36
ELF,87.36
KEL,87.37
EGR,87.38
TLRY,87.38
TOU,87.38
CLS,87.4
UCU,87.4
LAB,87.41
STUV,87.42
CPL,87.43
GFR,87.44
PVIS,87.44
DGS,87.49
SKP,87.51
VTX,87.53
MINE,87.54
GGD,87.6
GGO,87.6
HARY,87.6
MRE,87.6
SURF.UN,87.6
TR,87.6
PIF,87.67
WSP,87.67
CNR,87.69
VO,87.7
TMQ,87.71
FFH,87.75
ENEV,87.81
PUR,87.81
FPC,87.82
PMX,87.82
GEMC,87.83
SOBO,87.84
AXL,87.86
MASS,87.86
CRDL,87.88
GSRI,87.88
HTRC,87.88
EWK,87.89
NICU,87.9
LPS,87.9
EAGR,87.91
QBR.B,87.92
CTEK,87.93
MBX,87.94
RBZ,87.96
WDO,88.02
ETG,88.05
CLV,88.08
IMG,88.09
MID.UN,88.1
QCX,88.1
GTWO,88.12
CRIV,88.15
POWR,88.15
AC,88.19
GT,88.22
OBE,88.22
AZR,88.26
GSP,88.26
PHA,88.26
RMB,88.26
AZT,88.28
ANOR,88.28
AVCR,88.33
ETL,88.33
SGY,88.35
ALFA.UN,88.43
LMR,88.43
NOP,88.43
QPT,88.43
RXM,88.43
TCL.A,88.43
TKO,88.43
SII,88.48
BRAG,88.48
MPCT.UN,88.5
MLP,88.51
MMX,88.52
LINE,88.6
SBMI,88.6
CSW.A,88.64
BZ,88.65
FIH.U,88.66
SAM,88.69
SMP,88.74
TDG,88.74
STCK,88.76
OGI,88.78
ASM,88.8
IIP.UN,88.82
LALI,88.84
MG,88.84
OSM,88.84
SVA,88.84
VG,88.87
ARGH,88.9
ILC,88.91
HBM,88.92
RUS,88.93
CSH.UN,88.95
PINE.UN,88.95
SPN,88.95
ELD,88.96
KORE,88.96
APGO,89.01
STE,89.01
HCM.H,89.05
DIR.UN,89.07
DRX,89.08
BKI,89.11
DXT,89.11
VITA,89.14
IFP,89.16
TVE,89.2
AUEX,89.26
BATT,89.26
BUFF,89.26
FCI,89.26
GXP,89.26
WM,89.26
EMR,89.3
FVL,89.3
AUME,89.32
BRY,89.35
WELL,89.39
GLAD,89.42
SMN,89.42
CGI,89.45
ET,89.45
AVL,89.46
ELBM,89.46
SVI,89.5
GBML,89.51
AUMC,89.53
CTV,89.53
DFY,89.53
EMPS,89.53
FSV,89.53
MFG,89.53
ATOM,89.55
ISGI,89.6
FM,89.67
PA,89.67
MKA,89.69
MIVO,89.71
PHYS.U,89.72
RUP,89.72
NBY,89.74
RW,89.74
EFX,89.75
MGRO,89.77
FNDX,89.81
PHRX,89.81
TALA,89.81
NEV,89.82
AVNT,89.83
FRI,89.83
ECR,89.85
KEEK,89.86
STS,89.89
LCX,89.93
TAO,89.94
ASL,89.99
OPW,89.99
BUZ.P,89.99
ESK,90.01
TXG,90.02
ARX,90.03
GGM,90.03
GIL,90.03
ERTH,90.08
FRG,90.08
GRAY,90.08
HYLQ,90.08
IPCO,90.08
MCF,90.08
WWT,90.08
ELC,90.13
CRR.UN,90.13
ADG,90.14
DCOP,90.14
GMA,90.15
GRA,90.16
WP,90.17
CAI,90.23
RES,90.23
TAU,90.24
FC,90.25
FP,90.25
MTS,90.27
NSCI,90.27
BER.H,90.27
LBS.PR.A,90.29
IRO,90.36
VROY,90.36
LBI,90.39
SOI,90.39
UNC,90.4
TIDE.P,90.41
PHNM,90.42
MARI,90.46
CZZ,90.46
BIRD,90.5
EXE,90.5
NATO,90.5
PTFY,90.5
MN,90.55
AI,90.55
GRB,90.55
FCA.UN,90.58
FNR,90.58
KNT,90.6
ROAR,90.62
BCBN,90.63
CAD,90.63
CG,90.63
DTEA,90.63
ELEC,90.63
SGML,90.63
ROS,90.67
TCS,90.67
DDD,90.7
ENDR,90.7
SVE,90.72
TG,90.73
AURO,90.74
ROOT,90.74
VAU,90.75
Y,90.76
AAN,90.77
LAC,90.77
AWX,90.78
RCH,90.79
INTR,90.8
RNCH,90.81
TGOL,90.83
AUXX,90.83
OLA,90.83
WJX,90.83
W,90.86
ALM,90.86
MRVL,90.91
OMR.H,90.91
ZC,90.91
GGI,90.96
ATS,90.97
JJ,90.98
PEI,91.0
FTJ,91.02
ILI,91.03
ALGR,91.05
FORT,91.05
NED,91.05
ADEN,91.07
BRED,91.07
SLF,91.09
DCY,91.12
EGT,91.12
FRU,91.12
PTF,91.12
HLF,91.13
SOU,91.14
TECK.B,91.16
BOIL,91.18
GRUV,91.18
LITH,91.18
ODX.H,91.18
MSC,91.2
SOIL,91.21
AMM,91.21
HOT.UN,91.23
NHHH,91.23
CRRX,91.24
TC,91.24
GR,91.25
SVG,91.27
VRR,91.28
MAL,91.3
ACAP.P,91.32
AWE,91.32
MVI.H,91.36
VTT,91.36
STLR,91.37
MGMA,91.38
ENGH,91.4
ZBNI,91.4
BDI,91.43
DEC,91.43
PCLO,91.43
NRN,91.44
BBM,91.46
CDN,91.46
DOSE,91.46
GUD,91.46
JZR,91.46
SKUL,91.46
TMIN,91.46
GDC,91.49
BES,91.51
BAY,91.53
GQC,91.53
SECU,91.54
MHUB,91.57
NWST,91.59
LI,91.6
HVG,91.63
EFF,91.63
IMI,91.63
PPX,91.63
PWER,91.63
SHRP,91.63
MXL.H,91.65
MYID,91.65
KC,91.67
GRC,91.68
TORR,91.69
AFX,91.74
APR.UN,91.74
BEAR,91.74
BN,91.74
CAMP,91.74
CFP,91.74
CS,91.74
DEFI,91.74
ELR,91.74
GPIN,91.74
HEAL,91.74
IPT,91.74
KG,91.74
SABA,91.74
WOGC,91.74
WPG,91.74
BLX,91.78
HXC.H,91.79
BOL,91.79
QTRH,91.83
BAV.H,91.84
BAMI,91.85
BFM,91.87
OGC,91.87
WCM.A,91.88
TGO,91.93
SME,91.94
ITH,91.96
BHCC,92.01
CBI,92.01
CBLU,92.01
METG,92.01
MTT,92.01
QIM,92.01
ELO,92.04
NXE,92.05
JVR.P,92.07
NIO,92.07
APL,92.08
MMM,92.08
AIVC,92.12
SNAG,92.12
KRN,92.12
SYH,92.12
DYG,92.15
FSZ,92.15
LVX,92.15
BEK.B,92.19
NBVA,92.19
RVX,92.2
WCU,92.2
PNC.A,92.22
KGC,92.29
MAH,92.32
PGZ,92.32
DSV,92.33
SIEN,92.34
CAE,92.34
AME,92.36
ATI.H,92.36
AVG,92.36
TWR,92.36
E,92.37
HHH,92.37
WEB,92.38
ALS,92.4
CHP.UN,92.41
WIL,92.42
JES.P,92.42
NIR.H,92.42
AIM,92.46
HMM.A,92.46
ISC,92.5
KNOX,92.51
XIM,92.51
CFW,92.51
BCT,92.56
BRW,92.56
CFA.H,92.56
GEL,92.56
MCC,92.56
MDK.P,92.56
MLM,92.56
MRT.UN,92.56
NOA,92.56
ONEX,92.56
PDFI,92.56
PGIC,92.56
PIC.A,92.56
PMET,92.56
POW,92.56
QAI,92.56
NAM,92.61
TSD,92.61
CKG,92.61
ZEN,92.61
OMM,92.62
EBM,92.64
TELO,92.64
GDP,92.64
EOG,92.65
JTC,92.66
TSU,92.67
QGR,92.71
BDT,92.72
MTY,92.72
JUN.A,92.73
MUSH,92.73
ETF,92.75
IQ,92.75
MXG,92.76
ENW,92.77
OMI,92.77
THX,92.77
PAT,92.79
GRD,92.8
APX,92.81
GSS,92.81
CTZ,92.82
PSI,92.82
AAB,92.84
ALT,92.84
BWR,92.84
KDA,92.84
TCO,92.84
TGX,92.84
GLDN,92.89
JAEG.H,92.89
MEGO.P,92.89
ADK,92.91
BEI.UN,92.92
GEN,92.92
ALYA,92.93
KEON.H,92.94
APMI,92.98
EVOC.P,92.98
NAQ.P,92.98
PRNC,92.98
SEVA,92.98
SIS,93.0
MGM,93.01
CRWN,93.02
ELM,93.03
EAU,93.03
FTEC,93.04
MDX,93.05
NOBL,93.05
PLAN,93.06
SQG,93.07
RKR,93.08
AGF.B,93.1
LAM,93.1
GGC,93.11
RAMP,93.11
SNA,93.11
BMM,93.13
FCD.UN,93.13
PGE,93.15
PGX,93.15
CDB,93.17
WGF,93.18
NVT,93.19
AD.UN,93.2
KTO,93.21
RET.A,93.21
SAG,93.21
WRR,93.21
SASK,93.22
MOON,93.25
SALT,93.25
IRI,93.27
XXIX,93.27
OC,93.28
WEED,93.29
NCF,93.32
CTM,93.33
JUGR,93.33
IFA,93.34
APP,93.39
ARS,93.39
BRCB.P,93.39
DE,93.39
FFF,93.39
GPG,93.39
GRF,93.39
HASH,93.39
KETA,93.39
LTHM,93.39
MBL,93.39
NATN,93.39
ONYX,93.39
OTC,93.39
PML,93.39
RRCC.P,93.39
RUU,93.39
TMET,93.39
TRIP,93.39
VCT,93.39
X,93.39
YFI,93.39
DSG,93.43
ALA,93.44
POOL,93.44
CTN,93.44
BSK,93.46
OCG,93.46
RDU,93.48
REI.UN,93.48
YGT,93.49
BVA,93.49
BTU,93.52
GOLD,93.52
SOMA,93.52
RTM,93.53
MENE,93.54
MKR,93.54
OTEX,93.54
ROCK,93.54
WCP,93.54
FEO,93.55
TRV.P,93.55
IDL,93.58
LMS,93.6
MBO,93.61
RCI.B,93.61
FEX,93.62
MAI,93.62
BGF,93.62
GNG,93.64
WATR,93.64
CCM,93.65
BLGV,93.66
BNG,93.66
LOAN,93.66
METL,93.66
SPFY,93.66
WCN,93.66
VLN,93.68
CNO,93.71
RGC,93.72
ALV,93.74
TRP,93.75
BKMT,93.76
CVG,93.76
ICON,93.77
RUSH,93.77
SCLT,93.78
SFR,93.78
AVN,93.8
DOO,93.8
ECOM,93.8
EYE,93.8
AFCC.H,93.83
CIGI,93.86
MT,93.87
REG,93.87
TLG,93.87
DMGI,93.9
HWX,93.9
CRT.UN,93.91
FOOD,93.91
DM,93.92
III,93.94
TORC,93.94
DC.A,93.96
PXT,93.97
HPM,93.98
ID,94.01
SAT,94.01
SPOT,94.03
INEO,94.04
DRY,94.05
LIT,94.05
USS,94.06
BEM,94.08
INX,94.08
BLTC.P,94.1
BM,94.11
VIPR,94.12
TOT,94.14
QYOU,94.15
LORD,94.16
FMS,94.16
NBM,94.17
UNI,94.17
ACDC,94.21
AGC,94.21
BLU,94.21
COR,94.21
CRCL,94.21
CSOC.A,94.21
DIAM,94.21
MILI,94.21
OGW,94.21
PNGC,94.21
RUCC.P,94.21
SGR.UN,94.21
SLV,94.21
TNGD,94.21
TUNG,94.21
WISR,94.21
XRTX,94.21
ZOG.X,94.21
BKM,94.31
PX,94.32
BEX,94.33
JWEL,94.33
SMRV,94.33
XTM,94.35
WPM,94.37
CMC,94.37
TAJ,94.37
VEC.H,94.37
AUUA,94.38
COCO,94.38
EMPR,94.38
GUN,94.38
IVC.H,94.39
PRG,94.39
HELI,94.42
LEGY,94.42
ENRG,94.45
GRN,94.45
OMG,94.46
JOY,94.47
EDR,94.48
MAX,94.48
BAG,94.49
COS,94.49
CVGR,94.49
GFM.H,94.49
YMC,94.49
ZCC.H,94.51
NUG,94.52
SIQ.H,94.55
NTH,94.56
AEG,94.58
FNC,94.58
HSTR,94.58
WPK,94.58
GAU,94.58
FA,94.59
SRC,94.6
WEF,94.6
CERT,94.63
FNV,94.63
LTH,94.63
MIRA,94.63
MNRG,94.63
PPR,94.63
RAIN,94.63
ADN,94.65
VCV,94.65
UFC,94.67
INIK,94.69
EPL,94.7
SRU.UN,94.71
TBLL,94.71
BU,94.72
SRI,94.72
SMY,94.73
FMN,94.77
FUTR,94.77
PHRM,94.77
SGRO,94.77
VTI,94.77
XIGM,94.77
PEX,94.8
HAY,94.83
LET.H,94.83
USHA,94.83
CRD,94.85
HI,94.85
AXE,94.88
CUCU,94.88
FTS,94.88
SOLI.P,94.88
SYZ,94.89
TBK,94.9
USCU,94.93
YNV,94.93
GOT,94.94
XCAP.P,94.94
GCOM,94.94
MX,94.94
EAM,94.96
LQWD,94.97
DRT,94.98
FEC,94.99
MMG,94.99
SDR,94.99
DBG,95.0
NEXM,95.0
APM,95.04
BNE,95.04
CCO,95.04
CRUZ,95.04
DMED,95.04
DWTZ,95.04
FCR.UN,95.04
HIDE,95.04
KMP.UN,95.04
KUYA,95.04
MCCP.P,95.04
NSHS,95.04
SCAI,95.04
SCZ,95.04
STNG,95.04
TEMP,95.04
TIGR,95.04
TOI,95.04
VIK,95.04
WISE,95.04
IZN,95.09
TFII,95.09
AMY,95.09
ATH,95.11
NNX,95.11
CDR,95.12
BEW,95.13
LME,95.13
VKG,95.13
ADYA,95.14
SA.H,95.14
TTO.H,95.16
ROK,95.19
TNO.H,95.19
ARL,95.21
HRC.P,95.21
KIB,95.21
BBB,95.22
POU,95.22
LIO,95.23
BTT,95.24
AVCN,95.25
LSL,95.25
NVRS,95.25
PGC,95.25
REVV,95.25
WINS,95.27
MRG.UN,95.28
LITT,95.28
ANTL,95.29
PLY,95.3
ADP,95.32
BTE,95.32
CRC,95.32
M,95.32
RAIL,95.32
